doc_id,chunk_id,chunk_index,n_words,n_topic_tokens,idioma_detectado,score_pt,score_es,score_en,quality_reasons_str,text_for_embedding
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0009,9,256,98,es,0.34894,0.57872,0.03404,language_not_allowed,"Vieron que personalmente uno se entiende. Pero vos decías Revitalif. Me parece que sí, que es de Revitalif, que está el serum y también la crema, que también había mujeres maduras en la publicidad y con ese producto. Como que yo me acordé. 14 / 124 Yo me acordé de una que es Cicatricure, que no es un serum, pero es una crema y es más o menos de la misma temática. Misma temática. Y aparecen cosas similares. Sí, sí, sí. La crema, o sea, distintos tipos de crema para diferente edad y también son mujeres famosas, maduras, como, no sé, Araceli González. La pregunta ¿Qué es lo diferente de esta, de esas publicidades que a uno le viene a la cabeza que tiene que ver con un producto de estas características? ¿Qué tiene de distinto? Si tiene algo de distinto esta publicidad que acabamos de ver juntas. Dale Cari. Está hecha más con personas reales, porque todo se basa en lo que estética y moda de alguien que es una supermodelo, o sea, eso identifica a la persona normal de todos los días y no te están poniendo una 90 60 90 que tiene toda la cara con botox. Eso es lo que yo veo. Yo también veo lo mismo, porque de hecho Cicatricure tenía por ejemplo a Valeria Massa y la verdad es que Valeria Massa por lo que, o sea, no necesita tanto crema porque tiene bastantes tratamientos en la cara, entonces es como que esta trata de mostrar mujeres más reales, me parece."
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0010,10,243,106,es,0.3722,0.59193,0.08072,language_not_allowed,"15 / 124 Te muestra también mucha naturaleza, como que muestra mucha naturaleza no del ser humano, sino de, no sé, hoja, sol, como que remite más a lo natural, no tanto a un laboratorio, por ejemplo. A lo químico. Claro. A pesar de que es algo estudiado, como decía una, que le transmitía algo estudiado, pero sin embargo no algo químico. Como los colores de las otras publicidades que mencionamos son como más neutros, más blancos, con fondos claros y acá había más color, un naranja, un amarillo, como que había más luminosidad si se quiere, no tan como decía recién ella, de laboratorio. Claro, claro, tenés razón. A mí lo que me parece es. 16 / 124 Encontrar esto, gente NN que no tiene capaz un renombre, porque parece como que, no sé, en otras publicidades que siempre hay a un famoso parece que uno va y lo compra por el famoso. La verdad que no sé, no creo que sea el caso, no sé a dónde apuntan, pero me gusta que sean personas normales, que no tengan, o sea, que sean importantes para su familia, para sus amigos, o sea. Y la marca quedó clara. Producto. Que no tiene contacto, que no están editadas. Como que sin Photoshop. Claro, sin Photoshop. A partir de esta idea publicitaria, no. 17 / 124 Escuchás cómo sí no se entendió qué. Imagen les queda de Natura a partir de esta idea. De confianza, Me gustaría probarlo."
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0011,11,242,109,es,0.2973,0.5045,0.04505,language_not_allowed,"Salidad y para mí también cuidado, Un. Producto natural y real para gente real. OK. Y eso dana. 18 / 124 Sí, aparte convengamos que también Natura es una marca bastante conocida, tiene muy buenos productos. Confiabilidad. Me parece, uno la siente cercana, yo creo que eso. No sea la que estés usando todo el tiempo. ¿La sentiste cercana? Cercana, sí. Sí. Me parece como que me la puede recomendar una amiga, mi mamá, o sea un hermano. Sí, cerca. Y una pregunta. 19 / 124 Que les iba a hacer del producto, de la marca, perdón. ¿Es diferente esta publicidad a otras publicidades de Natura? Yo me acuerde, Natura también hace bastantes publicidades así como con esos tonos de marrones, verdes, amarillos, naranja, colores sierras. Sí, tal cual. Sí, sí, sí. Pero no me puedo acordar qué publicidad. No, no importa, está bien. Pero es como el estilo, la onda. Esto guarda sintonía con ese estilo, con esa onda. Sí, para mí sí. Por los colores, sí. Perfecto. 20 / 124 ¿Y. Se acuerdan, digamos, de cómo termina? Sí, con el producto. Claro. Muestra el envase del producto y es. De Natura Chronos, Natura Cronos. Y me queda como imagen de la marca. ¿Qué cosa? Un producto. Como palabras para definir un producto. Pareciera ser como un producto para evitar las arrugas del paso del tiempo, de belleza y así. 21 / 124 Como medio premium por . Y que da la onda de medio premium."
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0012,12,261,121,es,0.34855,0.48548,0.0249,language_not_allowed,"Yo por cómo lo situaron, como viste con brillos, un producto más chico. Está bien que es un serum, no va a ser grande, pero. Como si fuera algo de Lancôme, con el tipo de pack. Sí, tal cual. Que da cierta cosa. Importante. 22 / 124 Importante. Perfecto, perfecto. Y. Y aparte del producto, recuerda lo que aparece al final, la podemos volver a ver y lo vemos. Así que no se preocupen si no se acuerdan, solo les pregunto si se acuerdan. Me quedó la imagen del producto. La imagen del producto. Entonces lo que vamos a hacer, la vamos a ver de nuevo y acá de paso que la miramos de nuevo, fíjense si descubren alguna cosa visual que les llame la atención. Y si fueras más amiga del tiempo, reducí arrugas y líneas de expresión en dos semanas con el super serum de Natura Kronos. Esto de acá. Perdón, La imagen que ustedes decían. 30 mililitros. 23 / 124 Exactamente. Y acá termina así. Estar forma en bien, estar bien. Otra cosa que no había prestado atención antes es que quizás muestra mujeres distintas. Una mujer de piel oscura, una mujer de cutis blanco. Como para todas, como para cualquier. Perfecto. Bueno, ¿Y esto qué les parece esta. Asociación de está bueno, bien, estar bien? Porque es como que te da la pauta de que está bien que te veas bien. Este pasaje para bienestar hace bien a bienestar, bien qué relación podemos hacer entre este juego de palabras, o sea, lo que vos decís, a mí me gusta."
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0013,13,245,106,es,0.3547,0.52564,0.03846,language_not_allowed,"Más la frase esta bien estar bien, la entiendo un poco más, me parece que llega un poco más perfecto. 24 / 124 ¿Y te transmitía qué cosa? Como que es posible Estar bien, que está bueno, verse bien, Perfecto. ¿Las demás que piensan? Bien, estar bien. No me gustar. ¿Si, es una asociación de palabras con estar bien, pero bien, estar bien? No, no me parece, no me gusta, no lo podemos cambiar. ¿Qué relación hacemos? 25 / 124 Entenderlo, Sí, yo tampoco, pero calculo que significa que estar bien, cuidarse. Sí, pero es raro. Juego de palabras. Sí va al bienestar, si uno piensa en bienestar, bien, estar bien. ¿Ese juego qué les transmite? ¿Cuidarse está bien? Sí, obvio, cuidarse está bien. Y estar bien también está bien, digamos. Pero es como enroscado quizás, o como confuso el. Un poco enroscado. Y la pregunta es, de todas maneras, ¿Encontraron ahora que la vimos de nuevo, alguna cosa visual que les haya llamado la atención? El logo. El logo ¿Qué cosa lo identifica rápido con la marca? Es el logo como característico de Natura. Aparte atrás como del producto está la flor, que también es característico de Natura, Creciendo, se va agrandando. 26 / 124 ¿Y que transmite esa onda del logo que se va agrandando, esa flor que está detrás del producto? Identidad. ¿Es la identidad de la marca qué. Más visualmente queda bien, queda mal? Es como que también le da cierta impronta al producto."
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0014,14,240,105,es,0.36245,0.57205,0.0655,language_not_allowed,"Bien, bárbaro. No deja dudas que es un producto de Natura, digamos. 27 / 124 No deja dudas. OK, bien. Entonces, en relación a Natura, para cerrar, ¿Esta transmite, tiene algo novedoso, diferente en cuanto a la manera visual que cuenta este producto de Kronos? La publicidad para mí está bien, para. Mí no, pero para mí no es innovadora con respecto a Natura, volvemos a decir lo mismo, como que está dentro de los colores que usa la marca, no me parece dentro de la misma línea de siempre, digamos. A mí lo que me gusta es como que no quieren encajar, te lo. Como que no intentan venderte una fórmula china. Es como que me parece que está bien, que es amigarte con el paso del tiempo. No te voy a sacar el paso del tiempo. Bueno, pero te habla de dos. Perdón, te habla de dos semanas también. Y dos semanas es como un toque rápido, no sé si es tan real de las dos semanas, porque hacemos magia con una crema. Eso me da un poco de. Marketing, Pero la onda de las dos semanas, ¿Qué es lo que quiere transmitir? 28 / 124 ¿Qué hace un ayudín? Sí, hace un ayudín, pero no hace milagros. Pero. No te entiendo. Habla un poquito más fuerte porque te pierdo. Para mí, para mí pierde credibilidad. En dos semanas es imposible que el cuerpo, la piel tenga ese proceso así."
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0015,15,243,123,es,0.28125,0.45089,0.02232,language_not_allowed,"De rejuvenecimiento tan rápido. Hay algunas personas que lo toman como que lo que quiere decir, Se los pregunto para ver si es posible o se puede, porque no vamos a profundizar en el producto, pero quiero decir como que lo toman como parte de que lo tenés que hacer como tratamiento, o sea que tenés que ser consecuente. Claro, si no te sirve. Claro, puede ser. Igual dos semanas es como mucho. Me parece muy poco. 29 / 124 Díganme cada una piense dos palabras que describan, que definan esta publicidad así. La primera que venga la cabeza, ¿Qué palabras me dirían? Frescura y confianza para mí. Belleza y cuidado. Bien, ¿Qué más? Piel y tiempo. Piel y tiempo. Bien. ¿Qué más? Luminosidad y piel tersa. Luminosidad y terza. Perfecto. 30 / 124 Diversidad y suavidad. Tersa, suavidad. Perfecto. Bueno, vamos a hacer una cosa, vamos a mirar ahora otra idea. ¿Y si pudieras sentir en tu piel lo que la Amazonia hace por vos? Estimula la producción del ácido hialurónico en el cuerpo con la potente hidratación antiseñales de Natura Ecos Tucumán. ¿Y si pudieras sentir en tu piel lo que la Amazonia hace por vos? Estimulas. Estimula la producción del ácido hialurónico en el cuerpo con la potente hidratación antiseñales de Natura Ecos Tucumán. Perfecto. Dejé de compartir, espérense un poquito, voy. Bueno, cuéntenme. Bueno, acá vuelve a arrancar como con una pregunta, pero no entendí, por ejemplo, lo de la Amazonia."
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0016,16,244,94,es,0.39732,0.62054,0.07589,language_not_allowed,"Amazonia y Tucumán, o sea, entiendo que. 31 / 124 Quisieron poner, pero no lo veo reflejado. Para mí es porque sigue remitiendo a que son productos naturales, que son de la naturaleza. Para mí hace hincapié en eso, en que no es algo químico o tóxico o lo que sea. Yo no sé qué es, no sé si es una crema para la ducha. Habla de ácido hialurónico. Vamos de a una, esperen. Vamos de a una. María Emilia, cuando decís no sé qué es, ¿A qué te referís? No sé si es una crema. No sé si es un jabón para la ducha, no sé, no sé, no me queda claro qué es el producto. 32 / 124 OK. Las demás. Para mí va muy rápido la publicidad, es como. Si bien sigue en la misma línea de colores y de formato de la anterior, es muy rápida y quizás menos tangible que la anterior. La anterior veíamos que se ponía la crema en la cara, la mujer madura y demás y en este caso no, entonces quizás como que no llegas a. Un poco de qué se trata. Claro. Bien, bárbaro. ¿Las demás que entendieron? Es como que se pierde un poco el producto que quieren mostrar. Sí, yo entiendo que para mí es un gel de ducha, pero no sé si estoy en lo cierto, o sea no me da la certeza. 33 / 124 No sabes si es un gel de ducha."
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0017,17,244,103,es,0.33921,0.55507,0.03524,language_not_allowed,"OK. Es lo que yo supongo. Claro. Creo que la descripción del producto no coincide con lo que quiere mostrar. Con lo que mostra visualmente. Visualmente, porque ves una mujer que se está pasando crema y, o sea, yo no sé si el ácido hialurónico realmente se utiliza de esa manera o no, o sea, no sé si es un jabón o es una crema o como dijo ella, un gel de ducha, o sea, no se termina de entender el. Mensaje del ácido hialurónico. ¿Se acuerdan lo que decía? Como algo como que haga lo que el cuerpo hace por vos, como suplantar algo que el cuerpo no, No, decía algo como que te ayuda a estimular la producción del ácido hialurónico Y si. 34 / 124 Dice que ayuda a estimular, escúchense, si dice que ayuda a estimular el ácido hialurónico, ¿De qué producto me puede estar hablando? Y puede ser de un gel. ¿Qué más? Sí, una crema. Gel, crema. ¿Aparecía algo que aludiera al gel? La crema. Ahora que lo estamos armando. Sí, sí. Cuando ella les está pasando así en los brazos. 35 / 124 Bien, bárbaro. ¿Qué les parece? Aparte hay agua, mucha agua, entonces puede llegar a ser algo para la ducha. Fluido. Sí, es verdad. La chica que era tipo modelo se estaba como bañando en un lugar súper natural. Es verdad. En el medio del Amazonas. Sí, literalmente está. Habla de la Amazonia. ¿Las demás te entiendes?"
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0018,18,250,101,es,0.34052,0.56897,0.02586,language_not_allowed,"Si pudieras sentir en tu piel lo que la Amazonia hace por vos. ¿Qué entienden las demás? Porque había alguien que no entendía lo de la Amazonia. Las demás entendieron lo de productos naturales, qué se entiende en el contexto de esta publicidad y como todo lo bueno. 36 / 124 Que tiene esa parte de la naturaleza que sería el Amazonas para darnos a nosotros. Como devolverle a tu cuerpo algo, o sea el producto daba a entender que con el le devolvías algo al cuerpo, que al cuerpo le estaba faltando de una manera más natural con el tema de la crema o gel que sea para ducha o para baño y para emulsionarlo. OK, bien. ¿Alguno entendió si hubo algo mejor dicho desde la propuesta visual que ustedes destacarían? ¿Cómo vieron la parte visual? Porque algunas no les coincidía una cosa con la otra y las demás ¿Cómo vieron la parte visual? Digo, No, para mí como que intenta mostrar cierta frescura también al mostrar tanta naturaleza. Sí, pero estaría buenísimo que sea más lento porque se pierde la información. Sí, es largo el texto también. 37 / 124 Es largo el texto que dicen es largo con palabras quizás no habituales y por eso no se llega como a comprender, me parece. Yo la voy a pasar una vez más para ver si entendemos algo más y para seguir adelante. Sí, para definirla después. ¿Y si pudieras sentir en tu piel lo que la Amazonia hace por vos?"
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0019,19,253,111,es,0.29289,0.5272,0.02092,language_not_allowed,"Estimula la producción del ácido hialurónico en el cuerpo con la potente hidratación antiseñales de Natura Ecos Tucumán. OK, ¿Quedó más claro? Sí, ahora sí. Sí. ¿Y qué será el Tucumán? ¿Ahora quedó más claro que es una. 38 / 124 Crema y qué será el Tucumá? El Tucumán debe ser alguna vegetación, Algún fruto. ¿De dónde? ¿De dónde? Claro. OK, bárbaro. Bien, visualmente ¿Cómo les parece? El estilo, la onda, tiene que ver lo que muestra visualmente, la manera en que muestra Natura este producto tiene que ver con lo que hace. Siempre tiene algo distinto, alguna novedad, algo innovador. Para mí sigue en la línea de lo que vimos en la anterior, el color, la naturaleza, la mujer, no sé, volvemos a la frescura, el agua. Sí, para mí también. Hasta incluso los mismos colores. 39 / 124 Natura siendo Natura, o sea, es imposible que ahora, hoy por hoy, viendo todas esas cosas lo compares con otro tipo de publicidad. Es Natura siendo Natura. Natura está bien la definición, lo clásico de Natura. Sí, sigue la misma línea. Sigue la línea, pero está bien. Es como la identidad de la marca, me parece. No es que esté mal Exactamente, 40 / 124 Que no sea innovador. Tal cual. Pero a veces como que las marcas buscan innovar o irse por las ramas y la verdad que uno identifica la marca con esto que estamos viendo. Claro. Al contrario, por podría tener algo nuevo, algo diferente y ustedes si lo descubren me lo dicen."
doc_1029b8f4fef9beca,doc_1029b8f4fef9beca_pp_ch_0020,20,243,93,es,0.36797,0.60173,0.00866,language_not_allowed,"Porque eso es como parte también del objetivo, ver si hay algo distinto que tiene que ver con Natura, pero es distinto. Es como innovador para la marca, pero le queda bien. No todo lo nuevo tiene que ser ni malo ni bueno. Nos puede gustar o no. Para que ustedes lo digan. Bien. Y de última, cómo sintonizamos bienestar, que es como termina el bienestar. Bien. Con lo que mostró acá para cerrar esta propuesta, Yo lo relaciono con. Se está bañando. Con estar limpio. Con estar hidratado cuando se pone la crema. 41 / 124 Hidratado. Exacto. Con cuidarse prácticamente. Entonces podés estar bien cuidándote. Está bien. Es cuidado y estimulando la producción de algo que necesitamos, que es el ácido hialurónico. Claro. ¿Algo que necesitamos para el beneficio de qué? De la piel. De la piel más. Claro. 42 / 124 Para mí en esta se nota más la bienestar que la anterior. ¿Cómo? Perdóname, ya volvé. Para mí en esta se nota más lo del bienestar que la anterior, porque se está pasando la crema está relajada, parece como está acostada o qué sé yo. Y en la otra era más de ponerse la crema como un skin care de todos los días. Se nota más el bienestar. Perfecto. Con la comodidad. Sentirse bien con uno mismo. 43 / 124 Para mí con la comodidad. Está bueno. Sentirse bien con uno mismo y cómodo. Porque cuando estás bien, estás cómoda con vos."
